"UniqueCarrier","Weekday","DepTimeType","delays","flights","delay.prob"
"9E","Weekday","Red Eye",27,47,0.574468085106383
"9E","Weekday","Day",6135,11797,0.520047469695685
"9E","Weekday","Night",2806,4624,0.606833910034602
"9E","Weekend","Red Eye",5,10,0.5
"9E","Weekend","Day",2072,3867,0.535815877941557
"9E","Weekend","Night",807,1370,0.589051094890511
"AA","Weekday","Red Eye",205,245,0.836734693877551
"AA","Weekday","Day",16202,27325,0.592936870997255
"AA","Weekday","Night",8023,10748,0.746464458503908
"AA","Weekend","Red Eye",60,76,0.789473684210526
"AA","Weekend","Day",5053,9142,0.552723692846204
"AA","Weekend","Night",2213,3217,0.68790798880945
"AQ","Weekday","Red Eye",3,33,0.0909090909090909
"AQ","Weekday","Day",684,2238,0.305630026809651
"AQ","Weekday","Night",142,722,0.196675900277008
"AQ","Weekend","Red Eye",2,7,0.285714285714286
"AQ","Weekend","Day",221,747,0.295850066934404
"AQ","Weekend","Night",89,256,0.34765625
"AS","Weekday","Red Eye",98,139,0.705035971223022
"AS","Weekday","Day",3189,6153,0.518283764017552
"AS","Weekday","Night",1906,2979,0.639812017455522
"AS","Weekend","Red Eye",38,49,0.775510204081633
"AS","Weekend","Day",1033,2059,0.501699854298203
"AS","Weekend","Night",584,995,0.586934673366834
"B6","Weekday","Red Eye",143,234,0.611111111111111
"B6","Weekday","Day",3710,7830,0.473818646232439
"B6","Weekday","Night",2180,3941,0.553159096675971
"B6","Weekend","Red Eye",44,85,0.517647058823529
"B6","Weekend","Day",1295,2835,0.45679012345679
"B6","Weekend","Night",707,1311,0.539282990083905
"CO","Weekday","Red Eye",108,211,0.511848341232227
"CO","Weekday","Day",7717,13581,0.568220307782932
"CO","Weekday","Night",3779,5295,0.713692162417375
"CO","Weekend","Red Eye",32,73,0.438356164383562
"CO","Weekend","Day",2230,4304,0.518122676579926
"CO","Weekend","Night",986,1520,0.648684210526316
"DL","Weekday","Red Eye",186,307,0.60586319218241
"DL","Weekday","Day",15690,31186,0.503110370037838
"DL","Weekday","Night",6756,11546,0.585137710029447
"DL","Weekend","Red Eye",95,139,0.683453237410072
"DL","Weekend","Day",4453,9484,0.469527625474483
"DL","Weekend","Night",2003,3478,0.575905692926969
"EV","Weekday","Red Eye",27,28,0.964285714285714
"EV","Weekday","Day",14196,24501,0.579404922248071
"EV","Weekday","Night",6004,8736,0.687271062271062
"EV","Weekend","Red Eye",14,14,1
"EV","Weekend","Day",3614,7683,0.470389170896785
"EV","Weekend","Night",1568,2509,0.624950179354324
"F9","Weekday","Red Eye",118,143,0.825174825174825
"F9","Weekday","Day",4415,7331,0.602237075433092
"F9","Weekday","Night",2604,3691,0.705499864535356
"F9","Weekend","Red Eye",35,45,0.777777777777778
"F9","Weekend","Day",1364,2379,0.573350147120639
"F9","Weekend","Night",804,1174,0.684838160136286
"FL","Weekday","Red Eye",73,73,1
"FL","Weekday","Day",11951,21168,0.564578609221466
"FL","Weekday","Night",6090,8211,0.741687979539642
"FL","Weekend","Red Eye",57,57,1
"FL","Weekend","Day",4099,7846,0.522431812388478
"FL","Weekend","Night",2128,2971,0.716257152473915
"HA","Weekday","Red Eye",21,48,0.4375
"HA","Weekday","Day",1302,5047,0.257975034674064
"HA","Weekday","Night",352,1477,0.238320920785376
"HA","Weekend","Red Eye",9,16,0.5625
"HA","Weekend","Day",586,1860,0.31505376344086
"HA","Weekend","Night",175,574,0.304878048780488
"MQ","Weekday","Red Eye",23,23,1
"MQ","Weekday","Day",23674,41653,0.568362422874703
"MQ","Weekday","Night",9627,14566,0.660922696690924
"MQ","Weekend","Red Eye",3,3,1
"MQ","Weekend","Day",7440,14007,0.531162989933605
"MQ","Weekend","Night",2662,4550,0.585054945054945
"NW","Weekday","Red Eye",83,161,0.515527950310559
"NW","Weekday","Day",9357,16515,0.566575840145322
"NW","Weekday","Night",4446,6807,0.653151167915381
"NW","Weekend","Red Eye",24,52,0.461538461538462
"NW","Weekend","Day",3073,5252,0.585110434120335
"NW","Weekend","Night",1253,2082,0.601825168107589
"OH","Weekday","Red Eye",20,20,1
"OH","Weekday","Day",10397,19066,0.545316269799643
"OH","Weekday","Night",4881,7375,0.661830508474576
"OH","Weekend","Red Eye",2,2,1
"OH","Weekend","Day",2698,5879,0.458921585303623
"OH","Weekend","Night",1068,1811,0.589729431253451
"OO","Weekday","Red Eye",103,184,0.559782608695652
"OO","Weekday","Day",26549,48483,0.547594002021327
"OO","Weekday","Night",11918,19301,0.617480959535775
"OO","Weekend","Red Eye",29,45,0.644444444444444
"OO","Weekend","Day",9052,16587,0.545728582624947
"OO","Weekend","Night",3708,5848,0.63406292749658
"UA","Weekday","Red Eye",187,188,0.99468085106383
"UA","Weekday","Day",23158,38023,0.609052415643163
"UA","Weekday","Night",11428,15425,0.740875202593193
"UA","Weekend","Red Eye",93,94,0.98936170212766
"UA","Weekend","Day",7720,13002,0.593754806952776
"UA","Weekend","Night",3792,5058,0.749703440094899
"US","Weekday","Red Eye",368,406,0.9064039408867
"US","Weekday","Day",19088,38544,0.495226234952262
"US","Weekday","Night",10128,17844,0.567585743106927
"US","Weekend","Red Eye",138,152,0.907894736842105
"US","Weekend","Day",5715,12035,0.474864977149979
"US","Weekend","Night",3058,5675,0.538854625550661
"WN","Weekday","Red Eye",206,206,1
"WN","Weekday","Day",62313,102130,0.610134142759228
"WN","Weekday","Night",33674,45497,0.740136712310702
"WN","Weekend","Red Eye",79,79,1
"WN","Weekend","Day",17731,31752,0.55842151675485
"WN","Weekend","Night",9277,13281,0.698516677960997
"XE","Weekday","Red Eye",43,74,0.581081081081081
"XE","Weekday","Day",19617,36850,0.532347354138399
"XE","Weekday","Night",8911,12963,0.687418035948469
"XE","Weekend","Red Eye",8,14,0.571428571428571
"XE","Weekend","Day",5646,11609,0.486346799896632
"XE","Weekend","Night",2222,3658,0.607435757244396
"YV","Weekday","Red Eye",146,168,0.869047619047619
"YV","Weekday","Day",9700,19870,0.488173125314545
"YV","Weekday","Night",4996,9141,0.546548517667651
"YV","Weekend","Red Eye",79,86,0.918604651162791
"YV","Weekend","Day",3114,6912,0.450520833333333
"YV","Weekend","Night",1651,3072,0.537434895833333
